sample_id	chrom	start	end	cn_a	cn_b
internal11	chr3	1	2	0	0
internal11	chr3	2	3	0	0
internal11	chr3	3	4	0	0
internal11	chr3	4	5	0	0
internal11	chr3	5	6	0	0
internal11	chr3	6	7	0	0
internal11	chr3	7	8	0	0
internal11	chr3	8	9	0	0
internal11	chr3	9	10	0	0
internal11	chr4	0	1	0	0
internal11	chr4	1	2	0	0
internal11	chr4	2	3	0	1
internal11	chr4	3	4	0	0
internal11	chr4	4	5	0	0
internal11	chr4	5	6	0	0
internal11	chr4	6	7	0	0
internal11	chr4	7	8	0	0
internal11	chr4	8	9	0	0
internal11	chr4	9	10	0	1
internal12	chr1	0	1	0	0
internal12	chr1	1	2	0	0
internal12	chr1	2	3	0	0
internal12	chr1	3	4	0	0
internal12	chr1	4	5	1	0
internal12	chr1	5	6	0	0
internal12	chr1	6	7	0	0
internal12	chr1	7	8	0	0
internal12	chr1	8	9	0	0
internal12	chr1	9	10	0	0
internal12	chr2	0	1	0	0
internal12	chr2	1	2	0	0
internal12	chr2	2	3	0	0
internal12	chr2	3	4	0	0
internal12	chr2	4	5	0	0
internal12	chr2	5	6	1	0
internal12	chr2	6	7	0	0
internal12	chr2	7	8	0	0
internal12	chr2	8	9	0	0
internal12	chr2	9	10	0	0
internal12	chr3	0	1	0	0
internal12	chr3	1	2	0	0
internal12	chr3	2	3	0	0
internal12	chr3	3	4	0	0
internal12	chr3	4	5	0	0
internal12	chr3	5	6	0	0
internal12	chr3	6	7	0	0
internal12	chr3	7	8	0	0
internal12	chr3	8	9	0	0
internal12	chr3	9	10	0	0
internal12	chr4	0	1	0	0
internal12	chr4	1	2	0	0
internal12	chr4	2	3	0	0
internal12	chr4	3	4	0	0
internal12	chr4	4	5	0	0
internal12	chr4	5	6	1	0
internal12	chr4	6	7	0	0
internal12	chr4	7	8	0	0
internal12	chr4	8	9	0	0
internal12	chr4	9	10	0	1
internal13	chr1	0	1	0	0
internal13	chr1	1	2	0	0
internal13	chr1	2	3	0	0
internal13	chr1	3	4	0	0
internal13	chr1	4	5	0	0
internal13	chr1	5	6	0	0
internal13	chr1	6	7	0	0
internal13	chr1	7	8	0	0
internal13	chr1	8	9	0	0
internal13	chr1	9	10	0	0
internal13	chr2	0	1	0	0
internal13	chr2	1	2	0	0
internal13	chr2	2	3	0	0
internal13	chr2	3	4	0	0
internal13	chr2	4	5	0	0
internal13	chr2	5	6	0	0
internal13	chr2	6	7	0	1
internal13	chr2	7	8	0	0
internal13	chr2	8	9	0	0
internal13	chr2	9	10	0	0
internal13	chr3	0	1	0	0
internal13	chr3	1	2	0	0
internal13	chr3	2	3	0	0
internal13	chr3	3	4	0	0
internal13	chr3	4	5	0	0
internal13	chr3	5	6	0	0
internal13	chr3	6	7	0	0
internal13	chr3	7	8	0	0
internal13	chr3	8	9	0	0
internal13	chr3	9	10	0	0
internal13	chr4	0	1	0	0
internal13	chr4	1	2	0	0
internal13	chr4	2	3	0	0
internal13	chr4	3	4	0	0
internal13	chr4	4	5	0	0
internal13	chr4	5	6	0	0
internal13	chr4	6	7	0	0
internal13	chr4	7	8	0	0
internal13	chr4	8	9	0	0
internal13	chr4	9	10	0	0
internal14	chr1	0	1	0	0
internal14	chr1	1	2	0	0
internal14	chr1	2	3	0	0
internal14	chr1	3	4	0	0
internal14	chr1	4	5	0	0
internal14	chr1	5	6	0	0
internal14	chr1	6	7	0	0
internal14	chr1	7	8	0	0
internal14	chr1	8	9	0	0
internal14	chr1	9	10	0	0
internal14	chr2	0	1	0	0
internal14	chr2	1	2	0	0
internal14	chr2	2	3	0	0
internal14	chr2	3	4	0	0
internal14	chr2	4	5	0	0
internal14	chr2	5	6	0	0
internal14	chr2	6	7	0	1
internal14	chr2	7	8	0	0
internal14	chr2	8	9	0	0
internal14	chr2	9	10	0	0
internal14	chr3	0	1	0	0
internal14	chr3	1	2	0	0
internal14	chr3	2	3	0	0
internal14	chr3	3	4	0	0
internal14	chr3	4	5	0	0
internal14	chr3	5	6	0	0
internal14	chr3	6	7	0	0
internal14	chr3	7	8	0	0
internal14	chr3	8	9	0	0
internal14	chr3	9	10	0	0
internal14	chr4	0	1	0	0
internal14	chr4	1	2	0	0
internal14	chr4	2	3	0	0
internal14	chr4	3	4	0	0
internal14	chr4	4	5	0	0
internal14	chr4	5	6	0	0
internal14	chr4	6	7	0	0
internal14	chr4	7	8	0	0
internal14	chr4	8	9	0	0
internal14	chr4	9	10	0	0
internal15	chr1	0	1	0	0
internal15	chr1	1	2	0	0
internal15	chr1	2	3	0	0
internal15	chr1	3	4	0	0
internal15	chr1	4	5	0	0
internal15	chr1	5	6	0	0
internal15	chr1	6	7	0	0
internal15	chr1	7	8	0	0
internal15	chr1	8	9	0	0
internal15	chr1	9	10	0	0
internal15	chr2	0	1	0	0
internal15	chr2	1	2	0	0
internal15	chr2	2	3	0	0
internal15	chr2	3	4	0	0
internal15	chr2	4	5	0	0
internal15	chr2	5	6	0	0
internal15	chr2	6	7	0	1
internal15	chr2	7	8	0	0
internal15	chr2	8	9	0	0
internal15	chr2	9	10	0	0
internal15	chr3	0	1	0	0
internal15	chr3	1	2	0	0
internal15	chr3	2	3	0	0
internal15	chr3	3	4	0	0
internal15	chr3	4	5	0	0
internal15	chr3	5	6	0	0
internal15	chr3	6	7	0	0
internal15	chr3	7	8	0	0
internal15	chr3	8	9	0	0
internal15	chr3	9	10	0	0
internal15	chr4	0	1	0	0
internal15	chr4	1	2	0	0
internal15	chr4	2	3	0	0
internal15	chr4	3	4	0	0
internal15	chr4	4	5	0	0
internal15	chr4	5	6	0	0
internal15	chr4	6	7	0	0
internal15	chr4	7	8	0	0
internal15	chr4	8	9	0	0
internal15	chr4	9	10	0	0
internal16	chr1	0	1	0	0
internal16	chr1	1	2	0	0
internal16	chr1	2	3	0	0
internal16	chr1	3	4	0	0
internal16	chr1	4	5	0	0
internal16	chr1	5	6	0	0
internal16	chr1	6	7	0	0
internal16	chr1	7	8	0	0
internal16	chr1	8	9	0	0
internal16	chr1	9	10	0	0
internal16	chr2	0	1	0	0
internal16	chr2	1	2	0	0
internal16	chr2	2	3	0	0
internal16	chr2	3	4	0	0
internal16	chr2	4	5	0	0
internal16	chr2	5	6	0	0
internal16	chr2	6	7	0	1
internal16	chr2	7	8	0	0
internal16	chr2	8	9	0	0
internal16	chr2	9	10	0	0
internal16	chr3	0	1	0	0
internal16	chr3	1	2	0	0
internal16	chr3	2	3	0	0
internal16	chr3	3	4	0	0
internal16	chr3	4	5	0	0
internal16	chr3	5	6	0	0
internal16	chr3	6	7	0	0
internal16	chr3	7	8	0	0
internal16	chr3	8	9	0	0
internal16	chr3	9	10	0	0
internal16	chr4	0	1	0	0
internal16	chr4	1	2	0	0
internal16	chr4	2	3	0	0
internal16	chr4	3	4	0	0
internal16	chr4	4	5	0	0
internal16	chr4	5	6	0	0
internal16	chr4	6	7	0	0
internal16	chr4	7	8	0	0
internal16	chr4	8	9	0	0
internal16	chr4	9	10	0	0
internal17	chr1	0	1	0	0
internal17	chr1	1	2	0	0
internal17	chr1	2	3	0	0
internal17	chr1	3	4	0	0
internal17	chr1	4	5	0	0
internal17	chr1	5	6	0	0
internal17	chr1	6	7	0	0
internal17	chr1	7	8	0	0
internal17	chr1	8	9	0	0
internal17	chr1	9	10	0	0
internal17	chr2	0	1	0	0
internal17	chr2	1	2	0	0
internal17	chr2	2	3	0	0
internal17	chr2	3	4	0	0
internal17	chr2	4	5	0	0
internal17	chr2	5	6	0	0
internal17	chr2	6	7	0	1
internal17	chr2	7	8	0	0
internal17	chr2	8	9	0	0
internal17	chr2	9	10	0	0
internal17	chr3	0	1	0	0
internal17	chr3	1	2	0	0
internal17	chr3	2	3	0	0
internal17	chr3	3	4	0	0
internal17	chr3	4	5	0	0
internal17	chr3	5	6	0	0
internal17	chr3	6	7	0	0
internal17	chr3	7	8	0	0
internal17	chr3	8	9	0	0
internal17	chr3	9	10	0	0
internal17	chr4	0	1	0	0
internal17	chr4	1	2	0	0
internal17	chr4	2	3	0	0
internal17	chr4	3	4	0	0
internal17	chr4	4	5	0	0
internal17	chr4	5	6	0	0
internal17	chr4	6	7	0	0
internal17	chr4	7	8	0	0
internal17	chr4	8	9	0	0
internal17	chr4	9	10	0	0
internal18	chr1	0	1	0	0
internal18	chr1	1	2	0	0
internal18	chr1	2	3	0	0
internal18	chr1	3	4	0	0
internal18	chr1	4	5	0	0
internal18	chr1	5	6	0	0
internal18	chr1	6	7	0	0
internal18	chr1	7	8	0	0
internal18	chr1	8	9	0	0
internal18	chr1	9	10	0	0
internal18	chr2	0	1	0	0
internal18	chr2	1	2	0	0
internal18	chr2	2	3	0	0
internal18	chr2	3	4	0	0
internal18	chr2	4	5	0	0
internal18	chr2	5	6	0	0
internal18	chr2	6	7	0	1
internal18	chr2	7	8	0	0
internal18	chr2	8	9	0	0
internal18	chr2	9	10	0	0
internal18	chr3	0	1	0	0
internal18	chr3	1	2	0	0
internal18	chr3	2	3	0	0
internal18	chr3	3	4	0	0
internal18	chr3	4	5	0	0
internal18	chr3	5	6	0	0
internal18	chr3	6	7	0	0
internal18	chr3	7	8	0	0
internal18	chr3	8	9	0	0
internal18	chr3	9	10	0	0
internal18	chr4	0	1	0	0
internal18	chr4	1	2	0	0
internal18	chr4	2	3	0	0
internal18	chr4	3	4	0	0
internal18	chr4	4	5	0	0
internal18	chr4	5	6	0	0
internal18	chr4	6	7	0	0
internal18	chr4	7	8	0	0
internal18	chr4	8	9	0	0
internal18	chr4	9	10	0	0
internal19	chr1	0	1	0	0
internal19	chr1	1	2	0	0
internal19	chr1	2	3	0	0
internal19	chr1	3	4	0	0
internal19	chr1	4	5	0	0
internal19	chr1	5	6	0	0
internal19	chr1	6	7	0	0
internal19	chr1	7	8	0	0
internal19	chr1	8	9	0	0
internal19	chr1	9	10	0	0
internal19	chr2	0	1	0	0
internal19	chr2	1	2	0	0
internal19	chr2	2	3	0	0
internal19	chr2	3	4	0	0
internal19	chr2	4	5	0	0
internal19	chr2	5	6	0	0
internal19	chr2	6	7	0	1
internal19	chr2	7	8	0	0
internal19	chr2	8	9	0	0
internal19	chr2	9	10	0	0
internal19	chr3	0	1	0	0
internal19	chr3	1	2	0	0
internal19	chr3	2	3	0	0
internal19	chr3	3	4	0	0
internal19	chr3	4	5	0	0
internal19	chr3	5	6	0	0
internal19	chr3	6	7	0	0
internal19	chr3	7	8	0	0
internal19	chr3	8	9	0	0
internal19	chr3	9	10	0	0
internal19	chr4	0	1	0	0
internal19	chr4	1	2	0	0
internal19	chr4	2	3	0	0
internal19	chr4	3	4	0	0
internal19	chr4	4	5	0	0
internal19	chr4	5	6	0	0
internal19	chr4	6	7	0	0
internal19	chr4	7	8	0	0
internal19	chr4	8	9	0	0
internal19	chr4	9	10	0	0
internal2	chr1	0	1	1	0
internal2	chr1	1	2	0	0
internal2	chr1	2	3	0	0
internal2	chr1	3	4	0	1
internal2	chr1	4	5	0	0
internal2	chr1	5	6	0	0
internal2	chr1	6	7	0	0
internal2	chr1	7	8	0	0
internal2	chr1	8	9	0	0
internal2	chr1	9	10	0	0
internal2	chr2	0	1	0	0
internal2	chr2	1	2	0	0
internal2	chr2	2	3	0	0
internal2	chr2	3	4	0	0
internal2	chr2	4	5	0	0
internal2	chr2	5	6	0	0
internal2	chr2	6	7	0	0
internal2	chr2	7	8	0	0
internal2	chr2	8	9	0	0
internal2	chr2	9	10	0	0
internal2	chr3	0	1	0	0
internal2	chr3	1	2	0	0
internal2	chr3	2	3	0	0
internal2	chr3	3	4	0	0
internal2	chr3	4	5	0	0
internal2	chr3	5	6	0	0
internal2	chr3	6	7	0	0
internal2	chr3	7	8	0	1
internal2	chr3	8	9	0	0
internal2	chr3	9	10	0	0
internal2	chr4	0	1	0	0
internal2	chr4	1	2	0	0
internal2	chr4	2	3	0	0
internal2	chr4	3	4	0	0
internal2	chr4	4	5	0	0
internal2	chr4	5	6	0	0
internal2	chr4	6	7	0	0
internal2	chr4	7	8	0	0
internal2	chr4	8	9	0	0
internal2	chr4	9	10	0	0
internal20	chr1	0	1	0	0
internal20	chr1	1	2	0	0
internal20	chr1	2	3	0	0
internal20	chr1	3	4	0	0
internal20	chr1	4	5	0	0
internal20	chr1	5	6	0	0
internal20	chr1	6	7	0	0
internal20	chr1	7	8	0	0
internal20	chr1	8	9	0	0
internal20	chr1	9	10	0	0
internal20	chr2	0	1	0	0
internal20	chr2	1	2	0	0
internal20	chr2	2	3	0	0
internal20	chr2	3	4	0	0
internal20	chr2	4	5	0	0
internal20	chr2	5	6	0	0
internal20	chr2	6	7	0	1
internal20	chr2	7	8	0	0
internal20	chr2	8	9	0	0
internal20	chr2	9	10	0	0
internal20	chr3	0	1	0	0
internal20	chr3	1	2	0	0
internal20	chr3	2	3	0	0
internal20	chr3	3	4	0	0
internal20	chr3	4	5	0	0
internal20	chr3	5	6	0	0
internal20	chr3	6	7	0	0
internal20	chr3	7	8	0	0
internal20	chr3	8	9	0	0
internal20	chr3	9	10	0	0
internal20	chr4	0	1	0	0
internal20	chr4	1	2	0	0
internal20	chr4	2	3	0	0
internal20	chr4	3	4	0	0
internal20	chr4	4	5	0	0
internal20	chr4	5	6	0	0
internal20	chr4	6	7	0	0
internal20	chr4	7	8	0	0
internal20	chr4	8	9	0	0
internal20	chr4	9	10	0	0
internal21	chr1	0	1	0	0
internal21	chr1	1	2	0	0
internal21	chr1	2	3	0	0
internal21	chr1	3	4	0	0
internal21	chr1	4	5	0	0
internal21	chr1	5	6	0	0
internal21	chr1	6	7	0	0
internal21	chr1	7	8	0	0
internal21	chr1	8	9	0	0
internal21	chr1	9	10	0	0
internal21	chr2	0	1	0	0
internal21	chr2	1	2	0	0
internal21	chr2	2	3	0	0
internal21	chr2	3	4	0	0
internal21	chr2	4	5	0	0
internal21	chr2	5	6	0	0
internal21	chr2	6	7	0	1
internal21	chr2	7	8	0	0
internal21	chr2	8	9	0	0
internal21	chr2	9	10	0	0
internal21	chr3	0	1	0	0
internal21	chr3	1	2	0	0
internal21	chr3	2	3	0	0
internal21	chr3	3	4	0	0
internal21	chr3	4	5	0	0
internal21	chr3	5	6	0	0
internal21	chr3	6	7	0	0
internal21	chr3	7	8	0	0
internal21	chr3	8	9	0	0
internal21	chr3	9	10	0	0
internal21	chr4	0	1	0	0
internal21	chr4	1	2	0	0
internal21	chr4	2	3	0	0
internal21	chr4	3	4	0	0
internal21	chr4	4	5	0	0
internal21	chr4	5	6	0	0
internal21	chr4	6	7	0	0
internal21	chr4	7	8	0	0
internal21	chr4	8	9	0	0
internal21	chr4	9	10	0	0
internal22	chr1	0	1	0	0
internal22	chr1	1	2	0	0
internal22	chr1	2	3	0	0
internal22	chr1	3	4	0	0
internal22	chr1	4	5	0	0
internal22	chr1	5	6	0	0
internal22	chr1	6	7	0	0
internal22	chr1	7	8	0	0
internal22	chr1	8	9	0	0
internal22	chr1	9	10	0	0
internal22	chr2	0	1	0	0
internal22	chr2	1	2	0	0
internal22	chr2	2	3	0	0
internal22	chr2	3	4	0	0
internal22	chr2	4	5	0	0
internal22	chr2	5	6	0	0
internal22	chr2	6	7	0	1
internal22	chr2	7	8	0	0
internal22	chr2	8	9	0	0
internal22	chr2	9	10	0	0
internal22	chr3	0	1	0	0
internal22	chr3	1	2	0	0
internal22	chr3	2	3	0	0
internal22	chr3	3	4	0	0
internal22	chr3	4	5	0	0
internal22	chr3	5	6	0	0
internal22	chr3	6	7	0	0
internal22	chr3	7	8	0	0
internal22	chr3	8	9	0	0
internal22	chr3	9	10	0	0
internal22	chr4	0	1	0	0
internal22	chr4	1	2	0	0
internal22	chr4	2	3	0	0
internal22	chr4	3	4	0	0
internal22	chr4	4	5	0	0
internal22	chr4	5	6	0	0
internal22	chr4	6	7	0	0
internal22	chr4	7	8	0	0
internal22	chr4	8	9	0	0
internal22	chr4	9	10	0	0
internal23	chr1	0	1	0	0
internal23	chr1	1	2	0	0
internal23	chr1	2	3	0	0
internal23	chr1	3	4	0	0
internal23	chr1	4	5	0	0
internal23	chr1	5	6	0	0
internal23	chr1	6	7	0	0
internal23	chr1	7	8	0	0
internal23	chr1	8	9	0	0
internal23	chr1	9	10	0	0
internal23	chr2	0	1	0	0
internal23	chr2	1	2	0	0
internal23	chr2	2	3	0	0
internal23	chr2	3	4	0	0
internal23	chr2	4	5	0	0
internal23	chr2	5	6	0	0
internal23	chr2	6	7	0	1
internal23	chr2	7	8	0	0
internal23	chr2	8	9	0	0
internal23	chr2	9	10	0	0
internal23	chr3	0	1	0	0
internal23	chr3	1	2	0	0
internal23	chr3	2	3	0	0
internal23	chr3	3	4	0	0
internal23	chr3	4	5	0	0
internal23	chr3	5	6	0	0
internal23	chr3	6	7	0	0
internal23	chr3	7	8	0	0
internal23	chr3	8	9	0	0
internal23	chr3	9	10	0	0
internal23	chr4	0	1	0	0
internal23	chr4	1	2	0	0
internal23	chr4	2	3	0	0
internal23	chr4	3	4	0	0
internal23	chr4	4	5	0	0
internal23	chr4	5	6	0	0
internal23	chr4	6	7	0	0
internal23	chr4	7	8	0	0
internal23	chr4	8	9	0	0
internal23	chr4	9	10	1	0
internal24	chr1	0	1	1	0
internal24	chr1	1	2	1	1
internal24	chr1	2	3	1	1
internal24	chr1	3	4	1	1
internal24	chr1	4	5	1	1
internal24	chr1	5	6	1	1
internal24	chr1	6	7	1	1
internal24	chr1	7	8	1	1
internal24	chr1	8	9	1	0
internal24	chr1	9	10	1	0
internal24	chr2	0	1	0	0
internal24	chr2	1	2	0	1
internal24	chr2	2	3	0	1
internal24	chr2	3	4	0	1
internal24	chr2	4	5	0	1
internal24	chr2	5	6	1	1
internal24	chr2	6	7	1	1
internal24	chr2	7	8	1	1
internal24	chr2	8	9	0	1
internal24	chr2	9	10	0	0
internal24	chr3	0	1	0	1
internal24	chr3	1	2	1	1
internal24	chr3	2	3	0	1
internal24	chr3	3	4	0	1
internal24	chr3	4	5	0	1
internal24	chr3	5	6	0	1
internal24	chr3	6	7	0	1
internal24	chr3	7	8	0	1
internal24	chr3	8	9	0	0
internal24	chr3	9	10	0	0
internal24	chr4	0	1	0	0
internal24	chr4	1	2	0	0
internal24	chr4	2	3	0	1
internal24	chr4	3	4	0	0
internal24	chr4	4	5	0	0
internal24	chr4	5	6	1	0
internal24	chr4	6	7	1	0
internal24	chr4	7	8	1	0
internal24	chr4	8	9	1	0
internal24	chr4	9	10	1	1
internal25	chr1	0	1	0	0
internal25	chr1	1	2	0	0
internal25	chr1	2	3	0	0
internal25	chr1	3	4	0	0
internal25	chr1	4	5	0	0
internal25	chr1	5	6	0	0
internal25	chr1	6	7	0	0
internal25	chr1	7	8	0	0
internal25	chr1	8	9	0	0
internal25	chr1	9	10	0	0
internal25	chr2	0	1	0	0
internal25	chr2	1	2	0	0
internal25	chr2	2	3	0	0
internal25	chr2	3	4	0	0
internal25	chr2	4	5	0	0
internal25	chr2	5	6	0	0
internal25	chr2	6	7	0	0
internal25	chr2	7	8	0	0
internal25	chr2	8	9	0	0
internal25	chr2	9	10	0	0
internal25	chr3	0	1	0	0
internal25	chr3	1	2	0	0
internal25	chr3	2	3	0	0
internal25	chr3	3	4	0	0
internal25	chr3	4	5	0	0
internal25	chr3	5	6	0	0
internal25	chr3	6	7	0	0
internal25	chr3	7	8	0	0
internal25	chr3	8	9	0	0
internal25	chr3	9	10	0	0
internal25	chr4	0	1	0	0
internal25	chr4	1	2	0	0
internal25	chr4	2	3	0	0
internal25	chr4	3	4	0	0
internal25	chr4	4	5	0	0
internal25	chr4	5	6	0	0
internal25	chr4	6	7	0	0
internal25	chr4	7	8	0	0
internal25	chr4	8	9	0	0
internal25	chr4	9	10	0	1
internal26	chr1	0	1	0	0
internal26	chr1	1	2	0	0
internal26	chr1	2	3	0	0
internal26	chr1	3	4	0	0
internal26	chr1	4	5	0	0
internal26	chr1	5	6	0	0
internal26	chr1	6	7	0	0
internal26	chr1	7	8	0	0
internal26	chr1	8	9	0	0
internal26	chr1	9	10	0	0
internal26	chr2	0	1	0	0
internal26	chr2	1	2	0	0
internal26	chr2	2	3	0	0
internal26	chr2	3	4	0	0
internal26	chr2	4	5	0	0
internal26	chr2	5	6	0	0
internal26	chr2	6	7	0	0
internal26	chr2	7	8	0	0
internal26	chr2	8	9	0	0
internal26	chr2	9	10	0	0
internal26	chr3	0	1	0	0
internal26	chr3	1	2	0	0
internal26	chr3	2	3	0	0
internal26	chr3	3	4	0	0
internal26	chr3	4	5	0	0
internal26	chr3	5	6	0	0
internal26	chr3	6	7	0	0
internal26	chr3	7	8	0	0
internal26	chr3	8	9	0	0
internal26	chr3	9	10	0	0
internal26	chr4	0	1	0	0
internal26	chr4	1	2	0	0
internal26	chr4	2	3	0	0
internal26	chr4	3	4	0	0
internal26	chr4	4	5	0	0
internal26	chr4	5	6	0	0
internal26	chr4	6	7	0	0
internal26	chr4	7	8	0	0
internal26	chr4	8	9	0	0
internal26	chr4	9	10	0	1
internal27	chr1	0	1	0	0
internal27	chr1	1	2	0	0
internal27	chr1	2	3	0	0
internal27	chr1	3	4	0	0
internal27	chr1	4	5	0	0
internal27	chr1	5	6	0	0
internal27	chr1	6	7	0	0
internal27	chr1	7	8	0	0
internal27	chr1	8	9	0	0
internal27	chr1	9	10	0	0
internal27	chr2	0	1	0	0
internal27	chr2	1	2	0	0
internal27	chr2	2	3	0	0
internal27	chr2	3	4	0	0
internal27	chr2	4	5	0	0
internal27	chr2	5	6	0	0
internal27	chr2	6	7	0	0
internal27	chr2	7	8	0	0
internal27	chr2	8	9	0	0
internal27	chr2	9	10	0	0
internal27	chr3	0	1	0	0
internal27	chr3	1	2	0	0
internal27	chr3	2	3	0	0
internal27	chr3	3	4	0	0
internal27	chr3	4	5	0	0
internal27	chr3	5	6	0	0
internal27	chr3	6	7	0	0
internal27	chr3	7	8	0	0
internal27	chr3	8	9	0	0
internal27	chr3	9	10	0	0
internal27	chr4	0	1	0	0
internal27	chr4	1	2	0	0
internal27	chr4	2	3	0	0
internal27	chr4	3	4	0	0
internal27	chr4	4	5	0	0
internal27	chr4	5	6	0	0
internal27	chr4	6	7	0	0
internal27	chr4	7	8	0	0
internal27	chr4	8	9	0	0
internal27	chr4	9	10	0	1
internal28	chr1	0	1	0	0
internal28	chr1	1	2	0	0
internal28	chr1	2	3	0	0
internal28	chr1	3	4	0	0
internal28	chr1	4	5	0	0
internal28	chr1	5	6	0	0
internal28	chr1	6	7	0	0
internal28	chr1	7	8	0	0
internal28	chr1	8	9	0	0
internal28	chr1	9	10	0	0
internal28	chr2	0	1	0	0
internal28	chr2	1	2	0	0
internal28	chr2	2	3	0	0
internal28	chr2	3	4	0	0
internal28	chr2	4	5	0	0
internal28	chr2	5	6	0	0
internal28	chr2	6	7	0	0
internal28	chr2	7	8	0	0
internal28	chr2	8	9	0	0
internal28	chr2	9	10	0	0
internal28	chr3	0	1	0	0
internal28	chr3	1	2	0	0
internal28	chr3	2	3	0	0
internal28	chr3	3	4	0	0
internal28	chr3	4	5	0	0
internal28	chr3	5	6	0	0
internal28	chr3	6	7	0	0
internal28	chr3	7	8	0	0
internal28	chr3	8	9	0	0
internal28	chr3	9	10	0	0
internal28	chr4	0	1	0	0
internal28	chr4	1	2	0	0
